IP,Input,Time
192.168.1.190,""" 

 ==balance== 
 This page has one sentence about the basic definition of the word, and a huge amount about the slang/profane uses. Perhaps the former should be extended; is there no information about female dogs available beyond their name? This is an encyclopaedia, not a dictionary.  

  
 i feel that whoever is looking this definition up is very appropiate and should be deleted from wikipedia...IMMEDIATLY. this word is used very often and is also a very """"mean"""" word. i belive that is majorly true. very much so. okay so, the good meaning is a female dog.  BITCH !!!!!!!!!It also stands for the name Brittany Fellowsâ€”Preceding unsigned comment added by   â€¢    

 ==etymology== 
 The word bitch is from the Old Norse Bikkjuna meaning """"female of the dog"""" of unknown origin, Grimm derives the Old Norse words from Lapp Pittja, But OED notes that """"the converse is equally possible."""" 
 The adj. Bitchy was first seen in 1925.  
 The verb meaning to complain in 1930. 
 Slang Bitchen """"good"""" is attested to the 1950's 

 == reclaiming the word bitch == 
 The word bitch is actually only offencive in American and Canadian English. In most other English variants bitch maintains it's correct definition - female canine. People have argued that bitch is different because it is used as an insult - but so is """"pig"""", """"dog"""", """"cow"""" and others. These are not considered profane, so why is bitch? As far as I am concerned, there is nothing to """"reclaim"""" as bitch simply means a female canine. 

 It may be used as a pejorative or descriptor - that does not make it a profanity. 

    
 It should definately say something about Kyle Vanderweilen and all his bitchin Is there any particular evidence of women """"reclaiming"""" the word bitch in the 90s? Can anyone point to articles on this, etc.? The song is definitely interesting and belongs here, but doesn't actually reclaim the word """"bitch"""" any more than it reclaims the word """"sinner."""" 

 Also, I don't really understand the last paragraph and it sucks  I was going to try and clear it up, but I realized I don't know what it means. Can someone point to a source that lays out the argument about bitches, fertility and patriarchy more clearly? 

 

 :We don't need articles at all as I there are definitely enough examples (even outside of the 90s). Missy Elliot cleary and repeatedly reclaims the word, for instance, """"She's a Bitch"""".   

 ::References are fine  just the name """"Missy Elliot"""" got me to find a quote of a rolling stone review that mentioned """"reclaiming"""" the word. In fact, if some one knows more about her, it might be interesting to add a section on her work and on how it relates to women/slurs more generally within hip-hop.   

 :::How relevant is this reclamation? It seems to me poison for a woman to use an epithet which still strongly connotes despised traits. I don't see how using a word connoting """"querolous"""", """"spiteful"""", and """"malicious"""" can be empowering. But I don't know; life's a bitch.   

 ::::It stems from a reaction to the prevalence of tagging any woman who doesn't adhere to a certain standard of femininity as a bitch. To use a literary example, in the novel The Handmaid's Tale the narrator related the feeling that, whenever she outsmarted a man, she could almost hear him calling her a bitch in his mind, even her own husband. -   

 :::::That literary reaction you recited is jealousy; men have names for other men who outsmart them too, but, not having a word like """"bitch"""" for them, they have to resort to a greater variety of pejoritive epithets. Though you haven't been specific, I think that standard of femininity you referred to is a pretext for subordination, which both sexes often strive to impose on the other, but men have traditionally had more power. Because it is such a popular epithet in slang, the connotations of """"bitch"""" are diffuse, though still commonly pernicious. I think bitch, in itself, is not chiefly a denunciation to punish women who do not conform to that standard, but rather a contemptuous word often used for it. 

 :::::However, I still don't see the point of reclamati",10
192.168.1.146,""" 

 *@EdJohnston. Your question was about figures in summary. Here are a few points about this. 
 #Yes, the number of victims is important in an article about political repression. Therefore, the number (or a range of numbers) should be provided in the introduction. 
 #The numbers of people """"killed"""" and the number of people """"who died as a result of Communist policies"""" are different. The second number is significantly greater: it is more than 60 million (rather than 20 million) in the Soviet Union alone according to The Guinness Book of Records. 
 #I did not see any estimates of the number of people killed by all Communist regimes except """"Black book"""", which qualifies as a secondary RS written by a group of European historians. It tells exactly this: """"100 million people killed by all Communist regimes"""". They note that the number is approximate, which also should be noted in the introduction. If there are any other secondary RS that tell """"N million people killed by all Communist regimes"""", they must be also used to obtain a range of numbers. 
 #As a side note to others, it is grossly inappropriate to discuss sanctions at article talk pages. If you think that sanctions are needed, please go to appropriate administrative noticeboards and report your concerns there.   """,15
192.168.1.172,REDIRECT Talk:Mi Vida Eres TÃº,15
192.168.1.25,""" 
 I'm not convinced that he was blind. Where is this documented? It's possible that he was just what we'd call """"Legally blind"""" ie didn't have great vision, and that the name """"Blind Blake"""" is an exaggerated moniker. Although I have no proof I've got a feeling that him being legally blind is more likely than totally blind. Of course I've got no evidence to back that thing up.""",15
192.168.1.144,"== Thanks for the Barnstar! == 

 Thank you for awarding me with the RickK Anti-Vandilism Barnstar!",15
192.168.1.242,""" 

 == Ref: SS Ponzi Scheme == 

 Hi Padillah, 
 It is not my opinion that I am trying to impose here, although it may appear to be so. I am just highlighting the fact that it remains controversial whether it is or isn't a Ponzi Scheme (even if a legal one), so you cannot state as a fact that it is not a Ponzi Scheme (I saw the reference, and the perpetrator itself cannot be treated as a """"reliable source""""). In fact, claiming it is not a Ponzi Scheme seems to be an opinion in itself. My point is that a claim should not be made either way, and the edit in question just accomplishes that.  
 Thank you, 
 Virat""",16
192.168.1.166,""" 

 Look, Gerry Spence has NOT """"never lost a case, criminal or civil."""" That is simply untrue. He prevailed in two cases about which he wrote books (Silkwood and the Miss Wyoming vs. Penthouse cases). He won both massively at trial, and both were completely overturned. In 1985 he represented then-15 year old Michael Jones charged with murder as a juvenile. In Oregon the trial was a criminal trial in EVERY sense except that the juvenile neither received a jury (which Spence argued at the time he was entitled to) and the sentencing authority then ended at age 21. Chief Justice Alex Kozinski of the 9Th U.S. Circuit court mentions the arrogance of trial lawyers who claim to """"never have lost a cast.""""   """"n19. There's one famous exception: Gerry Spence, at least to hear him tell it. See Gerry Spence, Gunning for Justice 47 (1982). But see Sherrie F. Nachman, True Lies, Starring Gerry Spence, Am. Law., Sept. 1994, at 13 (disputing Spence's claim made in Gunning for Justice and widely reported by the media, and quoting one victorious Spence adversary, """"It's a lie."""").""""""",20
192.168.1.74,"== September 20th Truce == 

 According to several news sources, a truce was reached in Minsk last night. http://www.bbc.com/news/world-europe-29290246",21
192.168.1.214,"I'd never think I'd need to say it, but Wikipedia isn't a fansite discussion board. If anything is unannounced by any authority, it might as well be false. MMORPGs are overrated,",23
192.168.1.227,But this is not the article about government position but about the reaction. Add positions to 2008 Kosovo declaration of independence or Foreign relations of Kosovo.,25
192.168.1.94,DJ Robinson is gay as hell! he sucks his dick so much!!!!!,30
192.168.1.210,"== Dracula's Grandmother == 

  
 Dracula's grandmother was a Bulgarian princess, the sister of Ivan Sratzimir. The links with the lands across the Danube remain largely unexamined. I would appreciate any serious contributions. 
 (Kaloyan)",30
192.168.1.95,I have been perfectly civil in what quite clearly idiotic trolling.,30
192.168.1.230,"*I agree with Billfruge. The author describes the unverifiable nature of the two competing etymology theories sufficiently well so as not to mislead any reader, renders an opinion as to which of the two is more likely (and it is clear that this is the author's opinion), and presents the reader with the opportunity to accept either or neither of the two.",30
192.168.1.133,"==Category:Italian Jews== 

 :Category:Italian Jews, which you created, has been nominated for possible deletion, merging, or renaming. If you would like to participate in the discussion, you are invited to add your comments at the category's entry on the Categories for discussion page. Thank you.",30
192.168.1.189,"== Someday Never == 

 Why was the image deleted? Were there copyright issues?",30
192.168.1.90,""", 5 December 2012 (UTC) 

 :::The above is, to the best of my knowledge, an accurate disposition of the facts.  The only personal opinion I offered appeared in the last sentence: """"Systems of institutionalized racism always result in injustice, and backlash is a predictable result.""""  Have noted it as such. 

 :::I think it is inaccurate to say that """"white privilege"""" and """"white supremacy"""" are interchangable terms.  In fact the usefulness of """"white privilege"""" as a concept may be rooted in the """"invisible, weightless knapsack"""" analogythose who would never entertain white supremacist ideology may still benefit from some degreee of """"white privilege.""""   17:40""",30
192.168.1.9,""":I see that you moved  to Talat Hamdani. Perhaps you had not read the MfD notice on the page, which says """"please do not blank, merge, or move it, or remove this notice, while the discussion is in progress"""". (My emphasis.)    

 """,30
192.168.1.184,I WILL BURN YOU TO HELL IF YOU REVOKE MY TALK PAGE ACCESS!!!!!!!!!!!!!,30
192.168.1.198,"== Hebrean-Judeo-Christian == 

 What is Hebrean-Judeo-Christian) supposed to mean?",30
192.168.1.71,"== Can you work your magic? == 

 Hi.  I was wondring if you had time to help out with Wikipedia:Featured article candidates/W. E. B. Du Bois/archive1.  Any input would be appreciated:  a quick scan or a full review.  I've noticed your work before and I respect your skills. Thanks.",30
192.168.1.133,":Fuck off, you anti-semitic cunt.  |",30
192.168.1.50,Puwersa ng Masa!,31
192.168.1.10,"""== Quidam Software == 

 Hello Stifle, 

 I understand why you erased the article about Quidam Software. It was too short, without references etc. But actually it is my first article on wikipedia and I don't know how to ask that the article is """"under construction"""". Can you let me know please? 

 Thanks for your help.â€”Preceding unsigned comment added by   â€¢   
 :Thanks for your message and welcome to Wikipedia. Please sign your messages by typing ~~~~ at the end. 
 :Quidam software was deleted under the criteria for speedy deletion, specifically number 1 under Articles, as it was a short article with little or no context. 
 :Articles on Wikipedia should generally be more than a single sentence long and need to include citations from reliable sources to comply with the verifiability policy. 
 :You shouldn't put an article up before you've got these added, but if you want to work on an article for a while, you can create a user subpage and work on the article there, before moving it to the desired article title when it's ready. 
 :I hope that this experience hasn't put you off and that you enjoy being a Wikipedian. If you require further help using Wikipedia, please place a message on Wikipedia:Help desk or just put  and a message on your talk page and someone will show up shortly to help.   """,31
192.168.1.116,""" 
 :There are now four references, including Britannica, giving the correct date, which is getting silly. You complain in your edit summary that you can't find them, so I've added quotes to two, to help you out. After that you're on your own: WP:SOURCEACCESS has more on this. I'm happy to concede that Britannica, alone, mentions the date you offer (but without explaining the context), so that's one of the sources I've expanded with a quote specifically mentioning 23 August.  

 :Russian Wikipedia has: """"23 Ð°Ð²Ð³ÑƒÑÑ‚Ð° ÑÐ¸Ð»Ñ‹ 14-Ð³Ð¾ Ñ‚Ð°Ð½ÐºÐ¾Ð²Ð¾Ð³Ð¾ ÐºÐ¾Ñ€Ð¿ÑƒÑÐ° Ð°Ñ€Ð¼Ð¸Ð¸ ÐŸÐ°ÑƒÐ»ÑŽÑÐ° Ð²Ñ‹ÑˆÐ»Ð¸ Ðº Ð’Ð¾Ð»Ð³Ðµ ÑÐµÐ²ÐµÑ€Ð½ÐµÐµ Ð¡Ñ‚Ð°Ð»Ð¸Ð½Ð³Ñ€Ð°Ð´Ð°""""  (""""August 23 forces of the 14th Tank Corps, Army [of] Paulus, reached the Volga north of Stalingrad""""), cited from the war diary of Colonel-General Franz Haider.  

 :  """,31
192.168.1.136,"Her body is perfect. Face, boobs, hips, all of it.",31
192.168.1.122,":::::I am simply relating that the research and professional organizations are essentially unanimous in indicating that these laws are not having the intended effects, and that they may even be making the problem worse. You are entitled to your opinion, of course, but your comment is making me concerned about your ability to keep your biases out of your edits.",31
192.168.1.28,REDIRECT Talk:Kemp's thicket rat,31
192.168.1.250,""" 
 :::::See above section titled """"Finsbury Park Mosque and Islamic hatred."""" Lestrade""",31
192.168.1.29,"um, taking a shot here... Um lets say Three separate people whos wills are to each other.",31
192.168.1.231,""" 
 ::Use of """"assisted suicide"""" to refer to aid in dying is inaccurate in fourth distinctive ways. First, it was coined by Catholic activists disputing Oregon's Measure 16 in 1994 - so it carries a political bias. Second, the laws in Oregon, Washington and Vermont each do not contain the term """"assisted suicide"""" but use aid in dying. Third, assisting a suicide remains illegal in all three states - and also Montana and New Mexico. No state attorney general or county district attorney has charged any physician or pharmacist who acted within the aid in dying laws of the three states. Finally, describing people who use aid in dying, such as Brittany Maynard, suicides grossly misrepresents their experience and devalues both their lives and deaths. Continued usage of the biased and inaccurate term should be amended throughout Wikipedia.   """,32
192.168.1.98,See also . . . http://arxiv.org/abs/hep-ph/0009204,32
192.168.1.53,"== Hello == 

 Fuck off my Pagan you bareback mancunt pig slut.",32
192.168.1.243,"== Must be said  == 

 You are by far the most disrespectful, malicious, destructive user in all of Wikipedia. It's people like you, who abuse their power, that make this site Defunct or obsolete",32
192.168.1.196,"May 2010  
  Please stop. If you continue to delete or edit legitimate talk page comments, as you did at Talk:Deepwater Horizon oil spill, you may be blocked for vandalism.      
 :If this is a shared IP address, and you didn't make the edit, consider creating an account for yourself so you can avoid further irrelevant notices.",32
192.168.1.20,"== BrandonYusofToropov has requested mediation over a conflict with you == 

 Ed, [User:BrandonYusofToropov|BrandonYusofToropov] has requested mediation over a conflict with you. I am willing to mediate the dispute. Do you accept? If so, please end me an email at pgunn@dachte.org.",32
192.168.1.59,""" August 2006 (UTC) 

 :::::A simple """"you're wrong"""" would have sufficed.No need to try and make me look like an idiot 13:01, 10""",32
192.168.1.219,""" 
 :That is ridiculous. Unless there's a good and non-disingenuous response, I would absolutely agree with you blocking indef outright. Falsifying sources should simply never be tolerated. //  """,32
192.168.1.199,"How dare you vandalize that page about the HMS Beagle! Don't vandalize again, demon!",32
192.168.1.203,"""I moved this from """"Quebec diaspora"""" to this title because disapora is a description applicable only to Jews.  """,32
192.168.1.148,knock it off you bloody CWI trot,32
192.168.1.223,aapn bhtla aanand jhala..,32
192.168.1.185,""" 
 *** Not via archive.org, but I can and have read the petition myself, online.  It's a primary source (meaning, a letter from you, the subject, not a secondary source), and even if not blacklisted, can't really be used, but I've entered some followup questions to admins to get more feedback.  (I know the whole story it's a question of what we can include on Wiki, per WP:V and WP:RS.) We do have text mentioning the petition from The Guardian, cited in the article now.    """,32
192.168.1.173,"::No, he is an arrogant, self serving, immature idiot. Get it right.",32
192.168.1.36,"== Continued Vandalism == 

 This user continues to vandalize articles. It should be blocked from editing.",32
192.168.1.153,""" 

 ==Proornis== 

 Thank you for adding an entry for Proornis on wikipedia. I have added a bit more info and correct some of your edits: 
 * try to use the Taxobox in a correct manner. In your case you added dromaesauridae as a family of archaeornithiformes and there was no mention of the genus and species. 
 * don't overcategorized your article. Proornis to my knowledge is considered a basal bird and do not really fit in the dinosaur or coelurosaur categories.  
 * add references whenever possible 
 * start an article by defining the subject. For instance: """"Proornis"""" is an extinct genus of bird discovered in North Korea. 
 I hope you will be able to follow these guidelines when you will be creating a new article. If you need help, let me know.  """,32
192.168.1.219,"::ICES could hardly be labelled as a very obviously pro seal hunting organization. The scientific base of seal management is the responsibility of ICES, covered out by the most prominent seal researchers in the world. I would guess even you accept that as a NPOV. 
 ::Nevertheless I appreciate your new strategy of adding information even though I still find it rather biased. Your Canadian focus makes you forget that the Atlantic cod is more than the weak North-West Atlantic cod stock. I intend to make a few corrections if you don't mind. But don't worry, I will not delete sections (like you just did). I will however ask you to be a little bit more reserved using the very touchy term vandalism when people edit articles.",32
192.168.1.156,"*:That's not a very good reason not to move it, though. People don't use 'color' in the UK either, do they? Keeping it at Cor anglais is right per ENGVAR, however.",32
192.168.1.228,""":::If you email me I'll reply with a copy of the Pignotti pdf.  It's not at all controversial that EFT show more of an effect than some treatments in some conditions.  The problem is that EFT doesn't show more of an effect than talking and tapping your arm or talking and tapping a doll.   

 :::Second, I think you're not being quite forthright when you describe the accupressure citations as """"controvert[ing] this conclusion"""".  In fact, you removed the last two and silently changed the other two.  If you want to change text that someone has already responded to, please use  and <\s>, like this, so it doesn't look like you're being sneaky.  This also looks like you're throwing in every citation you can find without reading or understanding them, hoping something will stick.  If you recall, I asked for one pdf and we're now at numbers 16 and 17 and you're just now learning what the issues are.  And, after taking a look, neither one of your new studies has anything to do with establishing the existence of """"energy systems in the body"""". 

 :::I'm not sure what to say at this point.  The most charitable interpretation I can come up with is that you're not reading what you're citing:  you're either cutting and pasting from google or some other source.  Alternatively you're reading all of these papers but have no understanding as to what they contain.  Either way, you might want to consider editing articles that better play to your strengths. 

 :::As to Feinstein's rejoinder:  it's available here.  This is an excellent lesson in tapdancing: 

 ::::[The studies he found] lend[] support for the efficacy  of tapping while mentally attuning to an emotional difficulty. Despite the design flaws found in some of the  studies, the preponderance of evidence shows energy psychology interventions to be efficacious. 

 :::The first sentence is true, but he neglects to explain why arm-tapping and doll-tapping have equal efficacy.  The second sentence equates talking and tapping with """"energy psychology"""" which has the additional baggage of energy fields that can evidently migrate to arms and dolls.   

 :::So after 18 citations what we have is the suggestion that a particular kind of talking associated with some sort of physical ritual can be more helpful than other treatments in some situations.  I would be comfortable including the two Feinstein reviews if the shortcomings pointed out in Pignotti are highlighted, and I think Waite (2003) deserves a paragraph.  I don't see an argument for including any of these other citations.  If you want to make such an argument, please be sure to read the citation first and be able to summarize how the citation supports the point you want to make.    

 """,32
192.168.1.113,""" 

 You wrote: 

 You will need to cite reliable sources for the assertions """"far too large to be chemical"""" and """"no endothermic storage events"""". I do not think any source can conclusively estabish either point . . . 

 It is very easy to establish both points, and there are hundreds of papers with proof of them. 

 1. The limits of chemical storage (electron bonds) are well understood. The most energy dense chemicals, such as gasoline, store 4 to 8 eV per atom. Cold fusion reactions have often produced far more than this, ranging from ~100 to ~100,000 eV per atom of the material in the cell, and in all cases there is no chemical fuel before the reaction, and no chemical ash after it finishes. Cell with a few grams of inert material in them have produced hundreds of megajoules of heat  as much as several kilograms of gasoline. if you were to burn the cell contents, they would produce only a tiny fraction of the heat. In fact, you could burn the cell, the table, and all books in the room and still get that much chemical energy. Therefore, chemistry is ruled out. 

 2. Any calorimeter can measure an endothermic event as accurately as it measures an exothermic event. For example, all calorimeters used in these studies show the endothermic formation of Pd-D at the beginning of the experiment. Since the calorimeters shows the exothermic excess heat, they would also show the endothermic storage that proceeds it. They have never done this. The heat balance is always zero before the heat bursts, and after. 

 - Jed Rothwell 

  
 HERE IS more useful information that someone keeps erasing: 

 Please note that Cal Tech (Lewis et al.) is a false negative, as pointed out by Noninski, Miles and Fleischmann. This is described in several papers, for example this one, p. 20: 

 http://lenr-canr.org/acrobat/MilesMisoperibol.pdf 

 Also, the name is Julian Schwinger (with ch). See: 

 http://lenr-canr.org/acrobat/SchwingerJcoldfusiona.pdf 

 - Jed Rothwell, Librarian, LENR-CANR.org""",32
192.168.1.82,"==Image copyright problem with Image:ATT2066652.jpg== 
 
 Thanks for uploading Image:ATT2066652.jpg. However, the image may soon be deleted unless we can determine the copyright holder and copyright status. The Wikimedia Foundation is very careful about the images included in Wikipedia because of copyright law (see Wikipedia's Copyright policy). 

 The copyright holder is usually the creator, the creator's employer, or the last person who was transferred ownership rights. Copyright information on images is signified using copyright templates. The three basic license types on Wikipedia are open content, public domain, and fair use. Find the appropriate template in Wikipedia:Image copyright tags and place it on the image page like this: {{TemplateName}}. 

 Please signify the copyright information on any other images you have uploaded or will upload. Remember that images without this important information can be deleted by an administrator. If you have any questions, feel free to contact me, or ask them at the Media copyright questions page. Thank you.",32
192.168.1.107,:Thanks for the comment about Wiki-defenderness. I like that one. I usually wikiling Wiki-defender. I agree that at first he was somewhat innocent but now have my doubts as he is being really agressive about the whole matter.,32
192.168.1.170,"Can't figure out why he redshirted. No sources. ///WP:CHICAGO/WP:FOUR)   
 *",32
192.168.1.92,""" 

 * You used the word """"saloon"""" to describe the car. In American English, a saloon is like a bar or pub, so I believed it to vandalism. I now understand that saloon in British English is a sedan-like car. Feel free to re-edit the article to include the information, although I would suggest citing (WP:REF) the article supporting your acceleration stats. Cheers.  """,32
192.168.1.64,"::You're funny.  Ugly?  We're dudes on computers, moron.  You are quite astonishingly stupid.",32
192.168.1.218,"It might not have been your intention, but your recent edit removed content from . Please be careful not to remove content from Wikipedia without a valid reason, which you should specify in the edit summary or on the article's talk page. Take a look at our welcome page to learn more about contributing to this encyclopedia. Thank you.  A link to the edit I have reverted can be found here: link. If you believe this edit should not have been reverted, please contact me.  ||Suggestions?",32
192.168.1.76,"Agree, but that's not the issue. The queston is, in everyday English, does first amendent refer primarily to the US Constitution, or is it ambiguous? My belief remains that even fifth amendment is ambiguous, and first amendment even more so.     
 *",32
192.168.1.250,""" 

 == Main towns that are not so main == 

 I know that you love to write a one sentence article. But, if you want to do that, please, at least do it properly. Stop saying """"X is a main town in Y, Z"""". What is so main about obscure towns?   """,32
192.168.1.187,""" 

  my comments follow, bluewillow991967 - 

 I'm sorry if I wasn't sufficiently clear.  

 On the specific subject of """"first serial"""" versus """"reprints"""" I have an interest because I write commercial fiction for a living. 

 I'm not saying a contract would contain a """"non-standard definition"""" of first serial, original, or reprint. 

 I'm saying that you quite clearly do not understand the *standard* definitions in publishing commercial fiction of first serial, original, and reprint. 

 """"Is"""" means the same thing in plain English as it does in intellectual property terminology. """"Reprint,"""" """"original"""" and """"first serial"""" mean much more specific things in intellectual property terminology than they do in colloquial English. 

 It may well be suitable to call a female crotch a vagina in a personal blog, but in an encyclopedia article talking about female genitalia, it matters that the colloquially used term is factually incorrect and the correct terminology should be used. If the correct terminology would be confusing to readers, then a hyperlink to a correct definition may be in order. 

 You are, by analogy, effectively insisting that a set of labia is a vagina. 

 (Sorry, clearest example I could think of where the commonly accepted vernacular term shouldn't be used in an encyclopedia article because it's wrong.) 

   """,32
192.168.1.233,""" 

 == Halliday == 

 Good to see another contributor to his article. If SFL is your thing, you might consider joining the Wikipedia:WikiProject_Linguistics/SFLSFL taskforce. Thanks.   """,32
192.168.1.202,""" 
 ::: That Stephen Barrett is not Board Certified is not a viewpoint. It is a fact (a well documented one at that). I don't see how WP:PROMINENCE applies.    """,32
192.168.1.90,Stone Sour sucks anus,32
192.168.1.62,":Could you do a precis of the material instead of just downloading a whole lot of stuff from somewhere else on the internet? I am only one editor here, but I do feel that the material you have provided could be cut down to fit the format of this article. More info could be provided in a seperate wikipedia article if necessary.",32
